RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

FRAME 0 | Timestamp: 1773106634.2789 | Latency: 13.71ms
  > R: 0.286m | V:-1.365m/s | A:-48.20deg | X:-0.213 | Y: 0.191
  > R: 0.228m | V:-0.604m/s | A:-90.00deg | X:-0.228 | Y: 0.000
  > R: 0.269m | V: 0.013m/s | A: 34.03deg | X: 0.151 | Y: 0.223
  > R: 0.215m | V: 0.156m/s | A:-90.00deg | X:-0.215 | Y: 0.000
  > R: 0.205m | V: 0.313m/s | A: 61.04deg | X: 0.180 | Y: 0.099
  > R: 0.218m | V: 0.544m/s | A:-90.00deg | X:-0.218 | Y: 0.000
  > R: 0.288m | V: 1.007m/s | A:-90.00deg | X:-0.288 | Y: 0.000
  > R: 0.242m | V: 1.229m/s | A:-21.14deg | X:-0.087 | Y: 0.225
  > R: 1.180m | V:-1.366m/s | A:-42.87deg | X:-0.803 | Y: 0.865
  > R: 1.180m | V:-1.239m/s | A:-62.04deg | X:-1.043 | Y: 0.553
  > R: 1.180m | V:-1.148m/s | A:-70.05deg | X:-1.110 | Y: 0.403
  > R: 1.180m | V:-1.027m/s | A: 51.20deg | X: 0.920 | Y: 0.740
  > R: 1.180m | V:-1.009m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V:-0.938m/s | A: 46.61deg | X: 0.858 | Y: 0.811
  > R: 1.180m | V:-0.844m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.748m/s | A:-55.22deg | X:-0.970 | Y: 0.673
  > R: 1.180m | V:-0.603m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.455m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.254m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.012m/s | A: 20.75deg | X: 0.418 | Y: 1.104
  > R: 1.180m | V: 0.159m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.313m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V: 0.455m/s | A: -2.80deg | X:-0.058 | Y: 1.179
  > R: 1.180m | V: 0.544m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.738m/s | A:  6.67deg | X: 0.137 | Y: 1.172
  > R: 1.180m | V: 0.759m/s | A: 41.96deg | X: 0.789 | Y: 0.878
  > R: 1.180m | V: 0.854m/s | A:-11.02deg | X:-0.226 | Y: 1.159
  > R: 1.180m | V: 1.006m/s | A:-59.54deg | X:-1.018 | Y: 0.598
  > R: 1.180m | V: 1.127m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.228m/s | A:-22.63deg | X:-0.454 | Y: 1.090
  > R: 1.180m | V: 1.352m/s | A:-62.42deg | X:-1.046 | Y: 0.547

FRAME 1 | Timestamp: 1773106634.6060 | Latency: 17.01ms
  > R: 0.688m | V:-0.601m/s | A:-64.70deg | X:-0.622 | Y: 0.294
  > R: 0.440m | V: 0.160m/s | A:-90.00deg | X:-0.440 | Y: 0.000
  > R: 1.330m | V: 0.553m/s | A:-90.00deg | X:-1.330 | Y: 0.000
  > R: 1.141m | V:-0.600m/s | A:-90.00deg | X:-1.141 | Y: 0.000
  > R: 1.180m | V:-1.370m/s | A: 40.00deg | X: 0.759 | Y: 0.904
  > R: 1.180m | V:-1.249m/s | A:-65.25deg | X:-1.072 | Y: 0.494
  > R: 1.180m | V:-1.075m/s | A: 35.17deg | X: 0.680 | Y: 0.965
  > R: 1.180m | V:-1.023m/s | A: 41.92deg | X: 0.789 | Y: 0.878
  > R: 1.180m | V:-0.935m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.846m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.760m/s | A: 26.23deg | X: 0.522 | Y: 1.059
  > R: 1.180m | V:-0.510m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.258m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.149m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.127m/s | A: 16.49deg | X: 0.335 | Y: 1.132
  > R: 1.180m | V: 0.015m/s | A:-35.01deg | X:-0.677 | Y: 0.967
  > R: 1.180m | V: 0.159m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.317m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.456m/s | A: -3.25deg | X:-0.067 | Y: 1.179
  > R: 1.180m | V: 0.526m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.640m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.660m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 0.739m/s | A: 12.35deg | X: 0.252 | Y: 1.153
  > R: 1.180m | V: 0.847m/s | A: 48.78deg | X: 0.888 | Y: 0.778
  > R: 1.180m | V: 0.997m/s | A:-65.42deg | X:-1.073 | Y: 0.491
  > R: 1.180m | V: 1.018m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V: 1.233m/s | A: 39.59deg | X: 0.752 | Y: 0.910
  > R: 1.180m | V: 1.353m/s | A: 31.77deg | X: 0.621 | Y: 1.004

FRAME 2 | Timestamp: 1773106634.7388 | Latency: 16.69ms
  > R: 0.178m | V:-1.245m/s | A:-66.27deg | X:-0.163 | Y: 0.072
  > R: 0.187m | V:-0.742m/s | A:-90.00deg | X:-0.187 | Y: 0.000
  > R: 0.126m | V: 0.159m/s | A:-90.00deg | X:-0.126 | Y: 0.000
  > R:-0.152m | V: 0.322m/s | A:-90.00deg | X: 0.152 | Y:-0.000
  > R: 0.122m | V: 0.551m/s | A:-90.00deg | X:-0.122 | Y: 0.000
  > R: 0.637m | V: 0.834m/s | A: 10.05deg | X: 0.111 | Y: 0.627
  > R: 0.177m | V:-0.511m/s | A:-90.00deg | X:-0.177 | Y: 0.000
