RADAR STREAM LOG WITH LATENCY TRACKING
================================================================================

FRAME 0 | Timestamp: 1773105864.5191 | Latency: 31.66ms
  > R:-0.019m | V:-1.368m/s | A:-45.45deg | X: 0.013 | Y:-0.013
  > R:-0.019m | V:-1.321m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R:-0.019m | V:-1.298m/s | A:-40.35deg | X: 0.012 | Y:-0.014
  > R:-0.019m | V:-1.265m/s | A:-39.72deg | X: 0.012 | Y:-0.014
  > R:-0.019m | V:-1.238m/s | A:-60.21deg | X: 0.016 | Y:-0.009
  > R:-0.019m | V:-1.141m/s | A:-62.51deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V:-1.116m/s | A:-68.00deg | X: 0.017 | Y:-0.007
  > R:-0.019m | V:-1.081m/s | A:-48.19deg | X: 0.014 | Y:-0.012
  > R:-0.019m | V:-1.028m/s | A: 63.07deg | X:-0.017 | Y:-0.008
  > R:-0.019m | V:-1.007m/s | A: 63.07deg | X:-0.017 | Y:-0.008
  > R:-0.019m | V:-0.939m/s | A:-60.45deg | X: 0.016 | Y:-0.009
  > R:-0.019m | V:-0.892m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.867m/s | A:-50.27deg | X: 0.014 | Y:-0.012
  > R:-0.019m | V:-0.812m/s | A: 63.07deg | X:-0.017 | Y:-0.008
  > R:-0.019m | V:-0.746m/s | A:-72.63deg | X: 0.018 | Y:-0.006
  > R:-0.019m | V:-0.720m/s | A:-47.68deg | X: 0.014 | Y:-0.013
  > R:-0.019m | V:-0.602m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.560m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.519m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.444m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.394m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.365m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.318m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.250m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.220m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.195m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.116m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V:-0.094m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.013m/s | A:-30.66deg | X: 0.010 | Y:-0.016
  > R:-0.019m | V: 0.415m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.459m/s | A:-66.71deg | X: 0.017 | Y:-0.007
  > R:-0.019m | V: 0.489m/s | A:  7.53deg | X:-0.002 | Y:-0.019
  > R:-0.019m | V: 0.543m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.608m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.637m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.692m/s | A: 14.97deg | X:-0.005 | Y:-0.018
  > R:-0.019m | V: 0.736m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 0.760m/s | A:  8.13deg | X:-0.003 | Y:-0.019
  > R:-0.019m | V: 0.854m/s | A: 63.07deg | X:-0.017 | Y:-0.008
  > R:-0.019m | V: 0.903m/s | A:-64.25deg | X: 0.017 | Y:-0.008
  > R:-0.019m | V: 0.922m/s | A:-62.46deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V: 0.956m/s | A:-58.32deg | X: 0.016 | Y:-0.010
  > R:-0.019m | V: 1.007m/s | A:-58.83deg | X: 0.016 | Y:-0.010
  > R:-0.019m | V: 1.040m/s | A: 18.07deg | X:-0.006 | Y:-0.018
  > R:-0.019m | V: 1.070m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 1.124m/s | A:-90.00deg | X: 0.019 | Y:-0.000
  > R:-0.019m | V: 1.157m/s | A:  0.49deg | X:-0.000 | Y:-0.019
  > R:-0.019m | V: 1.231m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R:-0.019m | V: 1.258m/s | A: 53.16deg | X:-0.015 | Y:-0.011
  > R:-0.019m | V: 1.305m/s | A:-62.09deg | X: 0.017 | Y:-0.009
  > R:-0.019m | V: 1.351m/s | A:-58.39deg | X: 0.016 | Y:-0.010
  > R: 0.023m | V:-0.849m/s | A:-47.18deg | X:-0.017 | Y: 0.016
  > R: 0.031m | V:-0.794m/s | A:-68.44deg | X:-0.028 | Y: 0.011
  > R: 0.031m | V:-0.466m/s | A:-90.00deg | X:-0.031 | Y: 0.000
  > R: 0.022m | V:-0.151m/s | A:-90.00deg | X:-0.022 | Y: 0.000
  > R: 0.029m | V: 0.155m/s | A:-90.00deg | X:-0.029 | Y: 0.000
  > R: 0.030m | V: 0.313m/s | A: 61.04deg | X: 0.027 | Y: 0.015
  > R: 0.037m | V: 0.370m/s | A:-90.00deg | X:-0.037 | Y: 0.000
  > R: 0.024m | V: 0.586m/s | A:-90.00deg | X:-0.024 | Y: 0.000
  > R: 0.903m | V: 0.158m/s | A:-90.00deg | X:-0.903 | Y: 0.000
  > R: 0.967m | V: 0.159m/s | A:-90.00deg | X:-0.967 | Y: 0.000
  > R: 1.028m | V: 0.313m/s | A: 61.04deg | X: 0.899 | Y: 0.497
  > R: 1.180m | V:-1.366m/s | A:-42.87deg | X:-0.803 | Y: 0.865
  > R: 1.180m | V:-1.318m/s | A: 44.48deg | X: 0.827 | Y: 0.842
  > R: 1.180m | V:-1.293m/s | A: 44.48deg | X: 0.827 | Y: 0.842
  > R: 1.180m | V:-1.239m/s | A:-62.04deg | X:-1.043 | Y: 0.553
  > R: 1.180m | V:-1.185m/s | A:-45.64deg | X:-0.844 | Y: 0.825
  > R: 1.180m | V:-1.148m/s | A:-70.05deg | X:-1.110 | Y: 0.403
  > R: 1.180m | V:-1.078m/s | A: 53.16deg | X: 0.945 | Y: 0.708
  > R: 1.180m | V:-1.027m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V:-1.009m/s | A: 61.04deg | X: 1.033 | Y: 0.571
  > R: 1.180m | V:-0.938m/s | A: 63.07deg | X: 1.052 | Y: 0.535
  > R: 1.180m | V:-0.866m/s | A:-44.76deg | X:-0.831 | Y: 0.838
  > R: 1.180m | V:-0.844m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.829m/s | A:-90.00deg | X:-1.180 | Y: 0.000
  > R: 1.180m | V:-0.788m/s | A:-66.04deg | X:-1.079 | Y: 0.479
  > R: 1.180m | V:-0.748m/s | A:-55.22deg | X:-0.970 | Y: 0.673
  > R: 1.180m | V:-0.718m/s | A:-47.15deg | X:-0.865 | Y: 0.803
  > R: 1.180m | V:-0.603m/s | A:-90.00deg | X:-1.180 | Y: 0.000
