
FRAME 0 | Timestamp: 1774891053.4161 | Latency: 1211.10 ms | NumBeams: 25 | KeptAfter3DNMS: 30
  DETECT | R: 0.628 m | V: 1.342 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.544 | Y: 0.314 | P:5.262e+12
  DETECT | R: 0.647 m | V:-1.285 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.560 | Y: 0.323 | P:8.166e+12
  DETECT | R: 1.503 m | V: 1.192 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-1.302 | Y: 0.752 | P:1.668e+10
  DETECT | R: 4.073 m | V: 0.053 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-3.527 | Y: 2.036 | P:2.608e+10
  DETECT | R: 8.237 m | V: 0.152 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-7.134 | Y: 4.119 | P:3.746e+09
  DETECT | R: 8.824 m | V: 0.034 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-7.642 | Y: 4.412 | P:3.746e+10
  DETECT | R: 7.461 m | V:-0.163 m/s | Beam: -50.00 deg | AoA: -50.00 deg | X:-5.715 | Y: 4.796 | P:3.228e+09
  DETECT | R: 8.811 m | V: 1.310 m/s | Beam: -40.00 deg | AoA: -40.00 deg | X:-5.664 | Y: 6.750 | P:4.578e+10
  DETECT | R: 0.627 m | V: 0.265 m/s | Beam: -35.00 deg | AoA: -35.00 deg | X:-0.360 | Y: 0.514 | P:8.334e+12
  DETECT | R: 1.252 m | V: 0.296 m/s | Beam: -35.00 deg | AoA: -35.00 deg | X:-0.718 | Y: 1.026 | P:3.214e+10
  DETECT | R: 4.083 m | V:-0.038 m/s | Beam: -30.00 deg | AoA: -30.00 deg | X:-2.042 | Y: 3.536 | P:6.889e+10
  DETECT | R: 0.784 m | V: 0.030 m/s | Beam: -20.00 deg | AoA: -20.00 deg | X:-0.268 | Y: 0.737 | P:2.025e+11
  DETECT | R: 3.468 m | V: 0.136 m/s | Beam: -20.00 deg | AoA: -20.00 deg | X:-1.186 | Y: 3.259 | P:1.411e+10
  DETECT | R: 1.272 m | V: 1.138 m/s | Beam: -10.00 deg | AoA: -10.00 deg | X:-0.221 | Y: 1.252 | P:1.330e+11
  DETECT | R: 0.628 m | V: 1.121 m/s | Beam:  -5.00 deg | AoA:  -5.00 deg | X:-0.055 | Y: 0.626 | P:2.508e+13
  DETECT | R: 4.091 m | V: 0.112 m/s | Beam:  -5.00 deg | AoA:  -5.00 deg | X:-0.357 | Y: 4.076 | P:7.236e+10
  DETECT | R: 8.826 m | V: 0.091 m/s | Beam:  -5.00 deg | AoA:  -5.00 deg | X:-0.769 | Y: 8.792 | P:8.686e+10
  DETECT | R: 1.502 m | V: 1.299 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 1.502 | P:3.548e+10
  DETECT | R: 6.238 m | V: 0.025 m/s | Beam:  10.00 deg | AoA:  10.00 deg | X: 1.083 | Y: 6.143 | P:6.605e+09
  DETECT | R: 0.627 m | V: 0.264 m/s | Beam:  25.00 deg | AoA:  25.00 deg | X: 0.265 | Y: 0.569 | P:8.339e+12
  DETECT | R: 1.252 m | V: 0.302 m/s | Beam:  25.00 deg | AoA:  25.00 deg | X: 0.529 | Y: 1.135 | P:3.208e+10
  DETECT | R: 8.811 m | V: 1.265 m/s | Beam:  25.00 deg | AoA:  25.00 deg | X: 3.724 | Y: 7.985 | P:4.455e+10
  DETECT | R: 4.083 m | V:-0.038 m/s | Beam:  30.00 deg | AoA:  30.00 deg | X: 2.042 | Y: 3.536 | P:6.889e+10
  DETECT | R: 0.784 m | V: 0.060 m/s | Beam:  40.00 deg | AoA:  40.00 deg | X: 0.504 | Y: 0.600 | P:2.009e+11
  DETECT | R: 3.470 m | V: 0.126 m/s | Beam:  45.00 deg | AoA:  45.00 deg | X: 2.454 | Y: 2.454 | P:1.397e+10
  DETECT | R: 1.272 m | V: 1.146 m/s | Beam:  55.00 deg | AoA:  55.00 deg | X: 1.042 | Y: 0.729 | P:1.327e+11
  DETECT | R: 0.627 m | V: 1.111 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 0.543 | Y: 0.314 | P:2.330e+13
  DETECT | R: 1.500 m | V: 1.409 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 1.299 | Y: 0.750 | P:2.741e+10
  DETECT | R: 4.093 m | V: 0.134 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 3.545 | Y: 2.047 | P:6.198e+10
  DETECT | R: 8.825 m | V: 0.149 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 7.642 | Y: 4.412 | P:7.526e+10

FRAME 1 | Timestamp: 1774891055.0121 | Latency: 1166.74 ms | NumBeams: 25 | KeptAfter3DNMS: 21
  DETECT | R: 0.649 m | V: 0.211 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.562 | Y: 0.325 | P:2.843e+13
  DETECT | R: 4.137 m | V: 0.008 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-3.583 | Y: 2.069 | P:6.069e+10
  DETECT | R: 8.830 m | V: 0.570 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-7.647 | Y: 4.415 | P:5.884e+10
  DETECT | R: 5.007 m | V:-0.013 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.541 | Y: 3.541 | P:1.441e+11
  DETECT | R: 5.498 m | V: 0.002 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.888 | Y: 3.888 | P:5.851e+10
  DETECT | R: 0.646 m | V: 0.297 m/s | Beam: -30.00 deg | AoA: -30.00 deg | X:-0.323 | Y: 0.560 | P:9.108e+12
  DETECT | R: 8.830 m | V: 0.654 m/s | Beam: -30.00 deg | AoA: -30.00 deg | X:-4.415 | Y: 7.647 | P:2.270e+10
  DETECT | R: 4.062 m | V:-0.006 m/s | Beam: -10.00 deg | AoA: -10.00 deg | X:-0.705 | Y: 4.000 | P:2.759e+10
  DETECT | R: 0.650 m | V: 0.277 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 0.650 | P:3.636e+13
  DETECT | R: 8.833 m | V: 0.742 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 8.833 | P:7.650e+10
  DETECT | R: 4.138 m | V:-0.000 m/s | Beam:  10.00 deg | AoA:  10.00 deg | X: 0.719 | Y: 4.075 | P:6.065e+10
  DETECT | R: 4.034 m | V:-0.002 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.044 | Y: 3.897 | P:4.692e+10
  DETECT | R: 5.006 m | V:-0.001 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.296 | Y: 4.836 | P:1.470e+11
  DETECT | R: 5.500 m | V: 0.018 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.423 | Y: 5.312 | P:5.757e+10
  DETECT | R: 0.646 m | V: 0.297 m/s | Beam:  30.00 deg | AoA:  30.00 deg | X: 0.323 | Y: 0.560 | P:9.108e+12
  DETECT | R: 8.830 m | V: 0.654 m/s | Beam:  30.00 deg | AoA:  30.00 deg | X: 4.415 | Y: 7.647 | P:2.270e+10
  DETECT | R: 5.489 m | V: 0.024 m/s | Beam:  50.00 deg | AoA:  50.00 deg | X: 4.205 | Y: 3.528 | P:3.626e+10
  DETECT | R: 4.062 m | V:-0.005 m/s | Beam:  55.00 deg | AoA:  55.00 deg | X: 3.327 | Y: 2.330 | P:2.762e+10
  DETECT | R: 0.649 m | V: 0.362 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 0.562 | Y: 0.324 | P:1.820e+13
  DETECT | R: 4.129 m | V: 0.020 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 3.576 | Y: 2.065 | P:3.808e+10
  DETECT | R: 8.832 m | V: 0.885 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 7.649 | Y: 4.416 | P:4.689e+10

FRAME 2 | Timestamp: 1774891056.3169 | Latency: 1131.56 ms | NumBeams: 25 | KeptAfter3DNMS: 13
  DETECT | R: 0.653 m | V: 0.007 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.565 | Y: 0.326 | P:3.083e+13
  DETECT | R: 8.835 m | V: 0.081 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-7.652 | Y: 4.418 | P:1.177e+11
  DETECT | R: 5.009 m | V: 0.001 m/s | Beam: -50.00 deg | AoA: -50.00 deg | X:-3.837 | Y: 3.220 | P:1.472e+11
  DETECT | R: 0.650 m | V: 0.042 m/s | Beam: -30.00 deg | AoA: -30.00 deg | X:-0.325 | Y: 0.563 | P:1.074e+13
  DETECT | R: 3.448 m | V:-0.039 m/s | Beam: -25.00 deg | AoA: -25.00 deg | X:-1.457 | Y: 3.125 | P:2.992e+10
  DETECT | R: 5.490 m | V: 0.017 m/s | Beam: -10.00 deg | AoA: -10.00 deg | X:-0.953 | Y: 5.406 | P:3.656e+10
  DETECT | R: 0.653 m | V: 0.061 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 0.653 | P:4.087e+13
  DETECT | R: 8.837 m | V: 0.126 m/s | Beam:   0.00 deg | AoA:   0.00 deg | X: 0.000 | Y: 8.837 | P:1.425e+11
  DETECT | R: 5.008 m | V:-0.009 m/s | Beam:  15.00 deg | AoA:  15.00 deg | X: 1.296 | Y: 4.838 | P:1.475e+11
  DETECT | R: 0.650 m | V: 0.042 m/s | Beam:  30.00 deg | AoA:  30.00 deg | X: 0.325 | Y: 0.563 | P:1.074e+13
  DETECT | R: 5.490 m | V: 0.019 m/s | Beam:  55.00 deg | AoA:  55.00 deg | X: 4.497 | Y: 3.149 | P:3.689e+10
  DETECT | R: 0.652 m | V: 0.129 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 0.565 | Y: 0.326 | P:2.076e+13
  DETECT | R: 8.834 m | V: 0.189 m/s | Beam:  60.00 deg | AoA:  60.00 deg | X: 7.650 | Y: 4.417 | P:7.607e+10

FRAME 3 | Timestamp: 1774891057.6528 | Latency: 1165.91 ms | NumBeams: 25 | KeptAfter3DNMS: 17
  DETECT | R: 0.649 m | V:-1.678 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-0.562 | Y: 0.325 | P:8.938e+12
  DETECT | R: 1.374 m | V:-0.998 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-1.190 | Y: 0.687 | P:3.180e+10
  DETECT | R: 8.827 m | V:-0.540 m/s | Beam: -60.00 deg | AoA: -60.00 deg | X:-7.644 | Y: 4.413 | P:5.782e+10
  DETECT | R: 4.137 m | V:-0.005 m/s | Beam: -55.00 deg | AoA: -55.00 deg | X:-3.389 | Y: 2.373 | P:5.279e+10
  DETECT | R: 5.007 m | V:-0.013 m/s | Beam: -45.00 deg | AoA: -45.00 deg | X:-3.540 | Y: 3.540 | P:1.425e+11
